,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12
1976,62.27241666666666,91.32841666666664,78.13441666666668,66.11341666666667,-21.44958333333335,-15.645583333333349,-3.347583333333347,-25.05458333333334,-37.11158333333333,-54.079583333333346,-62.88558333333333,-78.27458333333334
5472,-108.21958333333333,-88.77758333333333,-92.73758333333336,-76.23358333333334,-47.652583333333325,-7.443583333333322,1.4784166666666465,21.278416666666658,48.33841666666666,141.6754166666667,54.89741666666663,153.3964166666666
5028,68.64283333333344,184.74883333333344,67.00483333333341,110.60283333333348,121.09883333333346,70.36783333333346,-11.659166666666579,-7.755166666666582,-99.13316666666657,-121.50316666666657,-231.85616666666658,-150.55916666666656
2462,58.39833333333331,61.64633333333333,60.972333333333324,56.11233333333331,29.541333333333313,17.58433333333332,12.45933333333332,-4.108666666666693,-65.82166666666669,-75.74866666666668,-75.94966666666669,-75.08566666666668
7443,-46.32050000000001,-73.3425,-107.72150000000002,-43.900499999999994,-61.11150000000001,-98.5455,66.2115,158.31349999999998,92.96449999999999,31.23449999999997,55.97750000000002,26.240499999999997
3150,-66.707,-76.20899999999995,12.157000000000039,36.74199999999996,54.553999999999974,68.75,107.79200000000003,124.50699999999995,70.34699999999998,-94.72000000000003,-141.65800000000002,-95.55499999999995
5559,101.14299999999997,143.94399999999996,89.27199999999993,92.03899999999993,79.01799999999997,-47.77000000000004,-68.50900000000007,-74.52500000000003,-74.22000000000003,-79.98300000000006,-81.40900000000005,-79.00000000000006
6856,80.26125000000002,-19.48075,-0.475750000000005,32.11625000000001,-28.26275000000001,-15.993750000000006,25.516250000000014,-45.82175000000001,-0.2987499999999841,22.077249999999992,-56.124750000000006,6.487249999999989
5347,122.76450000000006,-23.51049999999998,-47.82349999999997,-64.48449999999997,-30.364499999999964,-26.424499999999966,-48.410499999999956,-57.485499999999945,-45.52049999999997,10.821500000000071,83.22650000000004,127.21150000000006
6113,115.38541666666669,110.60041666666666,198.85441666666668,42.21941666666669,-94.66658333333334,-51.914583333333326,-48.83758333333333,-55.51658333333333,-97.60858333333331,-90.74958333333333,-31.936583333333317,4.170416666666654
4314,95.96766666666656,15.989666666666608,-13.9523333333334,-22.27533333333338,0.9676666666666165,-10.524333333333402,-12.69833333333338,-45.915333333333365,-82.43733333333341,-23.800333333333413,18.713666666666597,79.96466666666663
7016,-47.065333333333285,17.037666666666723,-45.35233333333332,87.67166666666668,43.89866666666671,23.434666666666715,41.35266666666672,-73.88633333333331,20.504666666666708,-20.089333333333286,-9.218333333333305,-38.2883333333333
6509,-159.96016666666668,-148.50916666666666,-71.87516666666664,-17.36816666666664,64.87183333333337,37.40683333333334,94.40283333333338,102.45583333333337,44.457833333333326,51.46983333333333,-13.759166666666658,16.40683333333334
3028,-220.76525000000015,-156.62525000000016,-47.87025000000017,-18.55625000000009,39.124749999999835,97.81674999999984,72.20274999999992,55.89074999999991,8.904749999999922,136.94974999999988,73.92374999999993,-40.996250000000146
6072,-69.95133333333337,-102.27133333333336,-146.06733333333335,-126.05133333333336,-79.10433333333336,-68.54633333333337,-70.20233333333334,-133.22033333333334,134.30766666666665,227.9406666666667,211.53366666666665,221.6326666666667
6221,-151.41574999999995,-150.41374999999994,-199.59774999999996,32.44625000000002,117.92425000000009,95.97825000000006,43.31125000000003,51.663250000000005,50.58525000000003,16.790250000000015,47.368250000000046,45.36025000000001
5966,71.93458333333325,24.246583333333263,152.88258333333334,101.89258333333333,-33.16441666666668,18.394583333333287,95.88358333333332,34.61358333333334,-17.366416666666737,-176.1084166666667,-181.61941666666672,-91.5894166666667
3967,76.22058333333314,-28.57541666666691,22.603583333333063,1.8665833333330966,-100.32841666666695,-3.597416666666959,99.07058333333305,71.35058333333313,73.47058333333314,-0.7884166666668762,2.417583333333141,-213.7104166666669
2118,-80.93191666666668,-34.49991666666668,-14.927916666666675,1.6500833333333276,6.396083333333337,10.85908333333333,14.170083333333338,13.659083333333314,19.616083333333336,18.22008333333332,29.401083333333332,16.388083333333327
172,-85.24549999999996,-172.68649999999997,-85.44049999999996,-57.142499999999956,-66.77249999999998,16.149500000000046,83.05050000000006,111.80850000000004,122.9805,33.16950000000003,30.232500000000016,69.89650000000006
